	track	user
0	Tell Ur Mom II - Winno (ft Heily)	Hustlang Winno 🐉🐍
1	An Thần - LOW G ft THẮNG ( lofi ver by Gum) prod by Chill Denis	Long Nguyễn
2	Back To Hometown - SOL7 [Thầy 7] (Rap Việt Mùa 2)	boy in da hood
3	Sài Gòn Đâu Có Lạnh - Changg x Lewiuy	Qi
4	PHI HÀNH GIA - RENJA x SLOW T x LIL WUYN x KAIN x SUGAR CANE	THINHHO
5	bích phương - em bỏ hút thuốc chưa (feat. traitimtrongvang)(sonbeat x sún mix)	SONBEAT
6	Lỡ say bye là bye - lemese X changg (sonbeat lofi mix)	SONBEAT
7	GPS - NIDEBIG ft BINQANG , PURR ( PROD : HS YAFU )	yafu
8	an thần (ft.thắng)| low G | rap nhà làm	Mai Dũng
9	LeeHi (이하이) - ONLY	L2Share♫140
10	Ở NHÀ CHÁN QUÓ (Prod. KanaBeats)	TaylorDaClownn.
11	[DCOD] NGTANOISE (Người ta nói - remake) | VSOUL x MFREE x TUYEN VO|	Lkang
12	Cưa Là Đổ - Phát Hồ X2X (Đại Mèo Remix)	Gia Cát Thạch
13	Nếu mai chia tay ( Hieu Tran Chill RnB Version) - Monstar Ft. Amee	Hieu Tran Music Producer
14	Berlin	Khoi Vu
15	Obito Ft. Hnhngan Live YOUR SMILE - Emma X Seachains X Obito	Đặng Gia Linh
16	Mây Đêm Chờ Mấy Đêm Remix - Hot TikTok 2021	Phượng Híp
17	Lạc - Rhymastic	YC
18	Tlinh - Thích Quá Rùi Nà ft. Trung Trần (prod by @rpt.phongkhin )	RPT Phongkhin
19	Yêu Một Nguời Có Lẽ -=- MIU Le ft LOU Hoang	UNK-Team
20	Nếu Anh Thấy Lòng Mình Yếu Đuối - Tùa x CM1X	TÙA
21	Obito - LOST (BeeBB Remix)	BeeBB
22	Loving You Sunny - Kimmese Ft Đen ( Prod.by Touliver & JustaTee )	Kimmese
23	WREN EVANS - Thích Em Hơi Nhiều	odayconhacthuii
24	3107-3 (lofi ver. by VUX) - W/n x Nâu x Duongg x Titie	VUX
25	Tim Toi?	Khoi Vu
26	DUYB & NOTAFRAID - HẾT NHẠC CON VỀ Ft RZ Mas	NOT AFRAID MUSIC
27	Thay Lòng (Lofi By NH4T) DIMZ x TVk x WindV / Tạm biệt nhé người em yêu ~	NH4T
28	Em Là Hoàng Hôn - Vang x CLoud 5	Cloud 5
29	SOOBIN - THÁNG NĂM (SPECIAL VERSION) FT. SLIM V	Cofm ♫
30	Lê Thiện Hiếu - Ooh Just You (BeeBB Remix)	BeeBB
31	EM KHONG THE	Touliver
32	Nghe Như Tình Yêu - Hieuthuhai, Kewtiie (slowed + reverb)	*+ slowed vibes +**
33	Thay Lòng Nal x TVK  Đại Mèo Remix	Đạc ☁
34	Để Nói Cho Nghe - Củ Cải x Bôn	MMusic
35	ICEMAN - Sol7 ft MCK	trantantai-3T
36	Chờ Lời Anh Nói - IVY Ft Crou Produce By OrionB Final	Orion Bui
37	(2 7 1 1) Mang em qua đây - PhuBinh x Lara	PhuBinh
38	Dù Cho Mai Về Sau	buitruonglinh
39	Xích Thêm Chút - RPT Groovie ft TLinh x RPT MCK	Đức Anh
40	THANH XUÂN LÀ ANH - N.Dien X 2T f.t Shenlongz	ShenlongZ
41	Nghe Như Tình Yêu (CM1X & VRT Remix) - HIEUTHUHAI	CM1X
42	Sinh Ra Đã Là Thứ Đối Lập Nhau Freak D Lofi Ver  Emcee L Da LAB ft Badbie	Anh Minh
43	Seachains x Summer Vee - HOLD YOU DOWN (Produce by Dreamble)	Dreamble
44	24h - lyly ft. magazine (arrix & luxofons mix)	Luxøfons
45	fishy ft Trí Dũng - Forget me now	fishy
46	She Neva Knows - Justatee ( Lofi Ver )	ZRecords
47	Dịu dàng em đến (Lofi) || Erik x Quanvrox	𝚑𝚞𝚠𝚗𝚐
48	Chân Tình - Quang Trung ft Tlinh	The Wolf
49	Phía Sau Đôi Mắt - Anh Bạn Thành ft. SIDO (original.)	H.A Music B
50	Kewtiie, Gill, marzuz - ROOM 808	Kewtiie
51	CHÂN TÌNH - QUANG TRUNG X TLINH ft DTAP.	Phuc Duong
52	SON TUNG M-TP - CHAY NGAY DI ( Prod. by ONIONN. )	Onionn.
53	Việt - Hơn Cả Mây Trời (lofi ver by hawys)	Hawys.
54	-237°C - HIEUTHUHAI x LOWNA	HIEUTHUHAI
55	Cưới Thôi - Masew x Masiu x B Ray x TAP - Tik Tok	Trí Beat
56	MUỐN ĐƯỢC CÙNG EM' - FREAKY x CM1X (ft. QUỲNH GAI)	mnhat.peo
57	HIEUTHUHAI - NGHE NHƯ TÌNH YÊU (FELIKS ALVIN REMIX) | HAWYS EDIT	Hawys.
58	Em Nào Có Tội - Thương Võ (Trung Ngon Remix)- Deep Ke - free download	I'm Trung Ngon    ✅
59	HURRYKNG, HIEUTHUHAI, MANBO - 'HẸN GẶP EM DƯỚI ÁNH TRĂNG' | (VRT REMIX)	VRT
60	back to hometown sol7	m1k4s4
61	LoVe08 - Duongg x OD x Tinkerbell (Kendy Mix)	𝟭 𝟵 𝟴 𝟬 𝘾𝙝𝙞𝙡𝙡
62	Chúng Ta Sau Này (Lofi) - Freak D	LV
63	KHONG CAN CO MCK ft TLINH	mnhien
64	Ái Nộ - Masew x Khoi Vu( Vinniedepooh ft Darling remix ) Hot TikTok	DARLING
65	Nguoitanoise	Wan Vin
66	Orange x Hoàng Dũng - Khi Em Lớn (Lo-fi ver by Hawys)	Hawys.
67	3107 1 2 3 W/n x Duongg x Nâu x TiTie.com	Lofi boiz
68	DAU CAN MOT BAI CA TINH YEU	TIEN TIEN
69	Trung Tự  Mẹ  Xa NhàDự Án Lofi 02	Sunny
70	Như Một Người Dưng (Ciray Remix) | Nguyễn Thạc Bảo Ngọc | Từng ngày anh vẫn bên em thế nhưng	𝟹 𝟷 𝟶 𝟽
71	Lần Hẹn Hò Đầu Tiên + Phố Đã Lên Đèn - Huyền Tâm Môn | Lo-Fi nhà làm	Vu Ngan My
72	ĐỘ TỘC 2 | FROM MIXI WITH LOVE - MASEW x PHÚC DU x PHÁO x ĐỘ MIXI	MMusic
73	Mây Đêm Chờ Mấy Đêm - HOT TIKTOK -Nguyễn Hữu Kha X AnhVu[ 1 9 6 7 ]	𝑪𝒂̀ 𝒑𝒉𝒆̂ 𝒔𝒖̛̃𝒂 (đá) ☕
74	SUÝT NỮA THÌ (VER. Chuyến đi của thanh xuân)	Andiez
75	𝙷𝚊𝚗𝚑 𝚙𝚑𝚞𝚌 𝚋𝚘 𝚛𝚘𝚒 𝚎𝚖_𝚜𝚕𝚘𝚠𝚎𝚍+𝚛𝚎𝚟𝚎𝚛𝚋	𝚒 𝚑𝚊𝚟𝚎 𝚊 𝚜𝚕𝚘𝚠𝚎𝚍 𝚜𝚘𝚗𝚐
76	1 Phút - Andiez	Andiez
77	[Single] 2 5 - Táo	Táo
78	CHÂN TÌNH - QUANG TRUNG ft. TLINH	Edward Dang
79	Câu Hứa Chưa Vẹn Tròn (Đại Mèo Remix) | Phát Huy T4 | Mình Đã Hứa Yêu Thật Lâu	𝟹 𝟷 𝟶 𝟽
80	Chúng Ta Của Hiện Tại	Quang
81	AnThan	Ozone
82	Quen mot nguoi chua tung yeu | 𝙨𝙡𝙤𝙬𝙚𝙙	Gojocuataooo🚬
83	Honey -AnhVu (Prod By Goku Beats)	MINT
84	Phố Đã Lên Đèn ||「Lofi Version by 1 9 6 7」	𝚑𝚞𝚠𝚗𝚐
85	Neu Ngay Ay - Soobin Hoang Son	lóuse
86	Bài Hát Của Em - VT (Prod by Chillin On Da Cloud)	VeeTee
87	Giây Phút Ấy - J.K / OFFICIAL	Decabroda Music Vietnam
88	Anh Biết - Xám x D.Blue	D.Blue
89	Sinh Ra Đã Là Thứ Đối Lập Nhau (Lofi)	LV
90	(FYILY) 4. LẠ QUÁ - B RAY X KARIK	Rei
91	Yêu Đừng Sợ Đau (Frexs Remix) | Ngô Lan Hương | Đừng Quay Mặt Đi Nước Mắt Rơi Thì Cứ Hot TikTok	𝟹 𝟷 𝟶 𝟽
